iter	RMSE
0	0.4647898644
1	0.4627593052
2	0.4606848459
3	0.4561743699
4	0.4534881559
5	0.4496713748
6	0.446502979
7	0.4420725034
8	0.4384517308
9	0.4347024637
10	0.4321685171
11	0.4283669075
12	0.4247718963
13	0.4215326871
14	0.4189821202
15	0.4163472609
16	0.413501299
17	0.4105572915
18	0.4067857769
19	0.4057322957
20	0.4027762743
21	0.4009714761
22	0.3966841054
23	0.3938993065
24	0.3933592136
25	0.3915574161
26	0.3907909994
27	0.3877679944
28	0.3852048928
29	0.3825796535
30	0.3795975305
31	0.3775176013
32	0.3743996783
33	0.370969296
34	0.3679264434
35	0.3662048278
36	0.363402543
37	0.3609631318
38	0.3589106029
39	0.3572791074
40	0.3552682199
41	0.3531473088
42	0.3504640076
43	0.3492943502
44	0.3475299957
45	0.344445005
46	0.343288729
47	0.3409863366
48	0.3379783717
49	0.336723097
50	0.3338596486
51	0.3308234901
52	0.3286899643
53	0.3268299872
54	0.3231960127
55	0.3215716024
56	0.3198172588
57	0.3175945177
58	0.3155322491
59	0.3126155987
60	0.3112345608
61	0.3095683084
62	0.3068382862
63	0.3056241133
64	0.3039603124
65	0.3008180594
66	0.2983137461
67	0.2968164176
68	0.2949184707
69	0.2923561496
70	0.2907439945
71	0.2894592872
72	0.2879432754
73	0.2853011275
74	0.2821721002
75	0.279950416
76	0.2790279695
77	0.2776223718
78	0.2759364442
79	0.2739845247
80	0.2721465218
81	0.2707320337
82	0.2698039327
83	0.2673416855
84	0.2653001779
85	0.2623324157
86	0.2620073127
87	0.2592177524
88	0.2578947613
89	0.2554833775
90	0.2537865877
91	0.2520014481
92	0.2505719377
93	0.2480809805
94	0.2468149887
95	0.2440319117
96	0.2414412333
97	0.2390589427
98	0.2381838944
99	0.2365375975
