iter	Passed	Remaining
0	0	52
1	1	50
2	1	49
3	2	66
4	3	59
5	4	69
6	5	68
7	6	69
8	7	78
9	8	75
10	8	71
11	9	69
12	9	66
13	10	64
14	11	66
15	12	64
16	15	76
17	16	73
18	18	80
19	20	83
20	21	80
21	27	97
22	28	93
23	28	90
24	28	86
25	31	90
26	32	87
27	32	84
28	35	86
29	37	86
30	37	83
31	38	80
32	39	79
33	39	77
34	40	74
35	42	75
36	43	73
37	43	71
38	44	69
39	46	69
40	47	67
41	47	65
42	48	63
43	48	61
44	49	59
45	49	58
46	49	56
47	51	55
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	57	47
55	58	45
56	58	44
57	59	42
58	60	42
59	61	40
60	61	39
61	61	37
62	62	36
63	63	35
64	64	34
65	64	33
66	66	32
67	68	32
68	69	31
69	69	29
70	69	28
71	70	27
72	70	26
73	71	24
74	71	23
75	74	23
76	75	22
77	75	21
78	76	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	88	12
88	90	11
89	94	10
90	95	9
91	95	8
92	95	7
93	96	6
94	97	5
95	98	4
96	99	3
97	101	2
98	102	1
99	103	0
